CntyName,DistName,Total SAT Score,COMMTYPE,Graduation Rate
Anderson County,Cayuga ISD,946,Rural,93.5
Anderson County,Elkhart ISD,943,Non-metropolitan Stable,98.6
Anderson County,Frankston ISD,845,Rural,100.0
Anderson County,Neches ISD,1107,Rural,94.3
Anderson County,Palestine ISD,895,Independent Town,89.2
Anderson County,Westwood ISD,907,Non-metropolitan Stable,95.3
Anderson County,Slocum ISD,1048,Rural,100.0
Andrews County,Andrews ISD,977,Other Central City Suburban,95.8
Angelina County,Pineywoods Community Academy,984,Non-metropolitan Stable,100.0
Angelina County,Hudson ISD,994,Independent Town,93.7
Angelina County,Lufkin ISD,952,Non-metropolitan Stable,92.5
Angelina County,Huntington ISD,953,Non-metropolitan Stable,93.2
Angelina County,Diboll ISD,880,Rural,96.9
Angelina County,Zavalla ISD,945,Non-metropolitan Stable,96.8
Angelina County,Central ISD,985,Independent Town,95.5
Aransas County,Aransas County ISD,946,Rural,88.5
Archer County,Archer City ISD,1012,Other Central City Suburban,100.0
Archer County,Holliday ISD,1039,Rural,100.0
Archer County,Windthorst ISD,1000,Rural,97.8
Armstrong County,Claude ISD,945,Rural,100.0
Atascosa County,Charlotte ISD,823,Non-metropolitan Fast Growing,86.7
Atascosa County,Jourdanton ISD,952,Non-metropolitan Stable,94.5
Atascosa County,Lytle ISD,894,Independent Town,91.2
Atascosa County,Pleasanton ISD,915,Non-metropolitan Stable,98.4
Atascosa County,Poteet ISD,896,Independent Town,92.0
Austin County,Bellville ISD,1022,Other Central City Suburban,97.8
Austin County,Sealy ISD,983,Rural,92.4
Austin County,Brazos ISD,893,Non-metropolitan Stable,95.1
Bailey County,Muleshoe ISD,980,Rural,98.8
Bandera County,Medina ISD,1044,Major Suburban,96.6
Bandera County,Bandera ISD,1026,Independent Town,94.4
Bastrop County,Bastrop ISD,927,Non-metropolitan Stable,93.7
Bastrop County,Elgin ISD,900,Non-metropolitan Stable,94.2
Bastrop County,Smithville ISD,960,Rural,96.3
Baylor County,Seymour ISD,NAN,Rural,95.0
Bee County,Beeville ISD,923,Independent Town,90.7
Bee County,Pettus ISD,903,Non-metropolitan Fast Growing,83.9
Bee County,Skidmore-Tynan ISD,983,Rural,93.5
Bell County,Richard Milburn Alter High School,849,Rural,35.5
Bell County,Priority Charter Schools,980,Non-metropolitan Fast Growing,90.3
Bell County,Orenda Charter School,998,Rural,96.1
Bell County,Academy ISD,1050,Other Central City Suburban,96.3
Bell County,Bartlett ISD,NAN,Rural,90.5
Bell County,Belton ISD,988,Other Central City,98.5
Bell County,Holland ISD,968,Non-metropolitan Stable,100.0
Bell County,Killeen ISD,939,Other Central City Suburban,88.3
Bell County,Rogers ISD,992,Other Central City Suburban,100.0
Bell County,Salado ISD,1019,Non-metropolitan Stable,99.1
Bell County,Temple ISD,972,Major Suburban,88.5
Bell County,Troy ISD,936,Major Suburban,98.1
Bexar County,Por Vida Academy,900,Major Suburban,43.0
Bexar County,George Gervin Academy,NAN,Non-metropolitan Stable,96.0
Bexar County,Higgs Carter King Gifted & Talente,655,Major Urban,100.0
Bexar County,School Of Excellence In Education,788,Major Suburban,93.8
Bexar County,Southwest Preparatory School,909,Non-metropolitan Stable,18.9
Bexar County,Radiance Academy Of Learning,930,Major Urban,100.0
Bexar County,Academy Of Careers And Technologie,873,Major Suburban,67.9
Bexar County,Shekinah Radiance Academy,NAN,Major Suburban,92.9
Bexar County,San Antonio School For Inquiry & C,930,Non-metropolitan Stable,99.1
Bexar County,Jubilee Academic Center,792,Non-metropolitan Stable,93.8
Bexar County,Kipp San Antonio,871,Major Urban,98.3
Bexar County,School Of Science And Technology,1040,Major Suburban,95.5
Bexar County,Harmony Science Acad (San Antonio),977,Major Suburban,100.0
Bexar County,Brooks Academy Of Science And Engi,930,Rural,92.1
Bexar County,School Of Science And Technology D,1005,Non-metropolitan Stable,96.3
Bexar County,City Center Health Careers,728,Rural,92.3
Bexar County,Henry Ford Academy Alameda School,840,Non-metropolitan Stable,83.6
Bexar County,Alamo Heights ISD,1100,Rural,98.3
Bexar County,Harlandale ISD,760,Rural,82.6
Bexar County,Edgewood ISD,797,Rural,88.4
Bexar County,Randolph Field ISD,1038,Rural,92.9
Bexar County,San Antonio ISD,803,Rural,91.6
Bexar County,South San Antonio ISD,847,Rural,93.8
Bexar County,Somerset ISD,829,Rural,92.3
Bexar County,North East ISD,1016,Rural,97.2
Bexar County,East Central ISD,914,Rural,100.0
Bexar County,Southwest ISD,766,Rural,95.4
Bexar County,Lackland ISD,1033,Non-metropolitan Stable,87.7
Bexar County,Ft Sam Houston ISD,990,Non-metropolitan Stable,92.5
Bexar County,Northside ISD,974,Independent Town,94.6
Bexar County,Judson ISD,852,Non-metropolitan Stable,98.5
Bexar County,Southside ISD,783,Rural,100.0
Blanco County,Johnson City ISD,958,Rural,98.4
Blanco County,Blanco ISD,965,Rural,97.1
Bosque County,Clifton ISD,1012,Non-metropolitan Stable,100.0
Bosque County,Meridian ISD,934,Rural,97.7
Bosque County,Morgan ISD,800,Rural,100.0
Bosque County,Valley Mills ISD,888,Major Suburban,100.0
Bosque County,Walnut Springs ISD,1005,Other Central City Suburban,92.9
Bosque County,Iredell ISD,931,Rural,80.0
Bosque County,Kopperl ISD,933,Other Central City,94.9
Bosque County,Cranfills Gap ISD,957,Other Central City Suburban,98.5
Bowie County,Dekalb ISD,1160,Other Central City Suburban,97.5
Bowie County,Maud ISD,NAN,Major Suburban,93.5
Bowie County,New Boston ISD,1147,Rural,100.0
Bowie County,Redwater ISD,1295,Other Central City,92.6
Bowie County,Texarkana ISD,1040,Other Central City,94.0
Bowie County,Liberty-Eylau ISD,930,Non-metropolitan Stable,95.2
Bowie County,Pleasant Grove ISD,1203,Rural,98.6
Brazoria County,Alvin ISD,962,Rural,96.6
Brazoria County,Angleton ISD,932,Rural,97.3
Brazoria County,Danbury ISD,953,Other Central City Suburban,95.9
Brazoria County,Brazosport ISD,988,Non-metropolitan Stable,89.4
Brazoria County,Sweeny ISD,983,Independent Town,97.6
Brazoria County,Columbia-Brazoria ISD,908,Rural,91.5
Brazoria County,Pearland ISD,1054,Rural,99.0
Brazos County,College Station ISD,1081,Rural,93.1
Brazos County,Bryan ISD,937,Rural,82.7
Brewster County,Alpine ISD,1000,Non-metropolitan Stable,100.0
Brewster County,Marathon ISD,945,Other Central City Suburban,95.7
Briscoe County,Silverton ISD,983,Rural,100.0
Brooks County,Brooks County ISD,NAN,Rural,100.0
Brown County,Bangs ISD,993,Other Central City Suburban,87.9
Brown County,Brownwood ISD,922,Independent Town,97.4
Brown County,Blanket ISD,NAN,Other Central City Suburban,94.7
Brown County,May ISD,1023,Independent Town,100.0
Brown County,Zephyr ISD,1035,Rural,100.0
Brown County,Brookesmith ISD,905,Non-metropolitan Stable,100.0
Brown County,Early ISD,1063,Rural,100.0
Burleson County,Caldwell ISD,983,Other Central City Suburban,98.8
Burleson County,Somerville ISD,849,Rural,95.8
Burleson County,Snook ISD,1057,Rural,87.5
Burnet County,Burnet CISD,917,Other Central City,87.2
Burnet County,Marble Falls ISD,991,Other Central City Suburban,95.9
Caldwell County,Lockhart ISD,859,Non-metropolitan Stable,91.6
Caldwell County,Luling ISD,898,Other Central City Suburban,91.2
Caldwell County,Prairie Lea ISD,917,Other Central City Suburban,94.4
Calhoun County,Calhoun County ISD,995,Non-metropolitan Stable,85.7
Callahan County,Cross Plains ISD,NAN,Other Central City Suburban,93.5
Callahan County,Clyde CISD,945,Rural,100.0
Callahan County,Eula ISD,945,Non-metropolitan Stable,98.9
Cameron County,University Of Texas At Brownsville,1101,Non-metropolitan Stable,85.0
Cameron County,Brownsville ISD,844,Non-metropolitan Stable,100.0
Cameron County,Harlingen CISD,910,Rural,91.7
Cameron County,La Feria ISD,925,Rural,90.6
Cameron County,Los Fresnos CISD,895,Rural,92.2
Cameron County,Point Isabel ISD,881,Independent Town,92.2
Cameron County,Rio Hondo ISD,844,Rural,93.2
Cameron County,San Benito CISD,856,Independent Town,97.0
Cameron County,Santa Maria ISD,732,Rural,91.8
Cameron County,South Texas ISD,1048,Rural,92.2
Camp County,Pittsburg ISD,911,Non-metropolitan Stable,95.9
Carson County,White Deer ISD,NAN,Rural,99.3
Cass County,Atlanta ISD,995,Other Central City Suburban,98.3
Cass County,Avinger ISD,NAN,Rural,100.0
Cass County,Hughes Springs ISD,1135,Rural,100.0
Cass County,Linden-Kildare CISD,NAN,Other Central City Suburban,100.0
Cass County,Queen City ISD,1067,Other Central City Suburban,96.4
Castro County,Dimmitt ISD,1183,Independent Town,100.0
Chambers County,Anahuac ISD,894,Rural,97.4
Chambers County,Barbers Hill ISD,1038,Independent Town,98.4
Chambers County,East Chambers ISD,910,Non-metropolitan Stable,90.5
Cherokee County,Alto ISD,901,Rural,100.0
Cherokee County,Jacksonville ISD,1047,Rural,100.0
Cherokee County,Rusk ISD,1031,Non-metropolitan Stable,100.0
Cherokee County,New Summerfield ISD,1067,Other Central City Suburban,91.7
Cherokee County,Wells ISD,847,Rural,100.0
Childress County,Childress ISD,NAN,Rural,96.7
Clay County,Henrietta ISD,1004,Rural,99.4
Clay County,Petrolia ISD,943,Rural,99.0
Clay County,Bellevue ISD,966,Rural,93.9
Cochran County,Morton ISD,NAN,Rural,86.6
Cochran County,Whiteface CISD,960,Rural,92.7
Coke County,Robert Lee ISD,NAN,Non-metropolitan Stable,95.1
Coleman County,Coleman ISD,1057,Rural,94.4
Coleman County,Santa Anna ISD,833,Rural,91.4
Coleman County,Panther Creek CISD,NAN,Other Central City Suburban,97.3
Collin County,Allen ISD,1113,Non-metropolitan Fast Growing,100.0
Collin County,Anna ISD,990,Non-metropolitan Fast Growing,100.0
Collin County,Celina ISD,1088,Non-metropolitan Stable,100.0
Collin County,Farmersville ISD,933,Other Central City,100.0
Collin County,Frisco ISD,1085,Other Central City Suburban,100.0
Collin County,McKinney ISD,1066,Non-metropolitan Fast Growing,100.0
Collin County,Melissa ISD,1068,Major Suburban,95.7
Collin County,Plano ISD,1156,Non-metropolitan Fast Growing,87.5
Collin County,Princeton ISD,943,Other Central City Suburban,100.0
Collin County,Prosper ISD,1064,Other Central City Suburban,85.7
Collin County,Wylie ISD,1001,Rural,97.8
Collin County,Blue Ridge ISD,1066,Non-metropolitan Stable,96.3
Collin County,Community ISD,923,Non-metropolitan Stable,98.3
Collin County,Lovejoy ISD,1134,Rural,92.6
Collingsworth County,Wellington ISD,915,Non-metropolitan Stable,98.2
Colorado County,Columbus ISD,930,Non-metropolitan Stable,98.2
Colorado County,Rice CISD,965,Rural,99.2
Colorado County,Weimar ISD,958,Other Central City,95.9
Comal County,Trinity Charter School,780,Major Suburban,95.3
Comal County,New Braunfels ISD,1023,Non-metropolitan Stable,99.1
Comal County,Comal ISD,1009,Rural,96.2
Comanche County,Comanche ISD,949,Rural,97.7
Comanche County,De Leon ISD,970,Rural,95.7
Comanche County,Gustine ISD,872,Rural,99.0
Comanche County,Sidney ISD,NAN,Rural,100.0
Concho County,Paint Rock ISD,1075,Independent Town,92.9
Cooke County,Gainesville ISD,943,Rural,95.8
Cooke County,Muenster ISD,1077,Non-metropolitan Fast Growing,95.2
Cooke County,Valley View ISD,976,Non-metropolitan Stable,0.0
Cooke County,Callisburg ISD,947,Rural,96.0
Cooke County,Era ISD,1014,Rural,97.1
Cooke County,Lindsay ISD,1033,Rural,100.0
Coryell County,Gatesville ISD,1039,Rural,97.3
Coryell County,Oglesby ISD,979,Independent Town,93.8
Coryell County,Jonesboro ISD,997,Other Central City Suburban,100.0
Coryell County,Copperas Cove ISD,956,Rural,100.0
Crane County,Crane ISD,920,Rural,100.0
Crockett County,Crockett County Consolidated CSD,865,Other Central City Suburban,94.2
Crosby County,Ralls ISD,918,Rural,100.0
Dallam County,Dalhart ISD,1013,Other Central City Suburban,100.0
Dallas County,Pegasus School Of Liberal Arts And,815,Rural,97.4
Dallas County,Uplift Education - North Hills Pre,1198,Rural,94.9
Dallas County,Texans Can Academies,741,Rural,100.0
Dallas County,Advantage Academy,818,Rural,100.0
Dallas County,Life School,875,Non-metropolitan Stable,96.8
Dallas County,Universal Academy,877,Rural,85.7
Dallas County,Faith Family Academy Of Oak Cliff,782,Major Suburban,92.9
Dallas County,Focus Learning Academy,774,Major Suburban,92.2
Dallas County,Winfree Academy Charter Schools,918,Major Urban,100.0
Dallas County,A+ Academy,811,Major Suburban,90.7
Dallas County,Gateway Charter Academy,727,Major Suburban,88.2
Dallas County,Alpha Charter School,575,Major Suburban,96.8
Dallas County,Evolution Academy Charter School,916,Major Suburban,95.0
Dallas County,Uplift Education - Peak Preparator,893,Major Suburban,93.9
Dallas County,Richland Collegiate High School,1067,Major Suburban,100.0
Dallas County,Uplift Education - Williams Prepar,941,Major Suburban,99.1
Dallas County,Uplift Education - Hampton Prepara,865,Major Suburban,100.0
Dallas County,International Leadership Of Texas,NAN,Major Suburban,100.0
Dallas County,Carrollton-Farmers Branch ISD,984,Non-metropolitan Fast Growing,98.1
Dallas County,Cedar Hill ISD,905,Major Suburban,50.9
Dallas County,Dallas ISD,799,Rural,100.0
Dallas County,Desoto ISD,821,Rural,97.9
Dallas County,Duncanville ISD,878,Non-metropolitan Stable,100.0
Dallas County,Garland ISD,957,Rural,0.0
Dallas County,Grand Prairie ISD,824,Other Central City Suburban,97.6
Dallas County,Highland Park ISD,1212,Rural,100.0
Dallas County,Irving ISD,840,Rural,27.0
Dallas County,Lancaster ISD,793,Rural,95.8
Dallas County,Mesquite ISD,899,Other Central City,96.7
Dallas County,Richardson ISD,1039,Major Suburban,58.9
Dallas County,Sunnyvale ISD,1064,Other Central City Suburban,29.9
Dallas County,Coppell ISD,1155,Other Central City Suburban,98.9
Dawson County,Lamesa ISD,836,Other Central City Suburban,94.3
Deaf Smith County,Hereford ISD,1095,Other Central City Suburban,92.5
Delta County,Cooper ISD,919,Other Central City Suburban,87.9
Denton County,University Of North Texas,1434,Other Central City Suburban,82.8
Denton County,Texas Education Centers,935,Other Central City Suburban,87.4
Denton County,Denton ISD,1000,Other Central City Suburban,91.7
Denton County,Lewisville ISD,1090,Other Central City Suburban,87.2
Denton County,Pilot Point ISD,980,Non-metropolitan Stable,97.2
Denton County,Krum ISD,975,Rural,93.7
Denton County,Ponder ISD,1049,Non-metropolitan Stable,98.2
Denton County,Aubrey ISD,1004,Rural,91.0
Denton County,Sanger ISD,973,Rural,91.2
Denton County,Argyle ISD,1107,Rural,98.1
Denton County,Northwest ISD,1030,Rural,99.7
Denton County,Lake Dallas ISD,1008,Rural,100.0
Denton County,Little Elm ISD,933,Other Central City Suburban,100.0
Dewitt County,Cuero ISD,905,Rural,95.6
Dewitt County,Nordheim ISD,883,Rural,100.0
Dewitt County,Yoakum ISD,1077,Rural,91.8
Dewitt County,Yorktown ISD,863,Non-metropolitan Stable,96.3
Dickens County,Spur ISD,NAN,Rural,93.8
Dimmit County,Carrizo Springs CISD,825,Rural,95.8
Duval County,San Diego ISD,862,Non-metropolitan Stable,96.6
Eastland County,Cisco ISD,1051,Rural,100.0
Eastland County,Eastland ISD,957,Rural,95.5
Eastland County,Gorman ISD,833,Rural,97.0
Eastland County,Ranger ISD,987,Other Central City,98.0
Eastland County,Rising Star ISD,NAN,Rural,97.0
Ector County,Ector County ISD,909,Rural,99.4
Ellis County,Waxahachie Faith Family Academy,860,Rural,93.5
Ellis County,Avalon ISD,942,Other Central City,98.4
Ellis County,Ennis ISD,959,Major Suburban,89.3
Ellis County,Ferris ISD,896,Rural,88.9
Ellis County,Italy ISD,1057,Other Central City,100.0
Ellis County,Midlothian ISD,1040,Rural,98.0
Ellis County,Palmer ISD,911,Other Central City Suburban,96.7
Ellis County,Red Oak ISD,937,Other Central City,93.3
Ellis County,Waxahachie ISD,1000,Other Central City,100.0
Ellis County,Maypearl ISD,1029,Other Central City Suburban,84.7
El Paso County,Burnham Wood Charter School Distri,960,Major Suburban,93.9
El Paso County,Paso Del Norte Academy Charter Dis,671,Major Urban,91.7
El Paso County,El Paso Academy,854,Non-metropolitan Stable,100.0
El Paso County,Harmony Science Acad (El Paso),976,Major Suburban,85.2
El Paso County,Clint ISD,785,Major Urban,89.1
El Paso County,El Paso ISD,855,Rural,98.7
El Paso County,Fabens ISD,806,Major Suburban,94.4
El Paso County,San Elizario ISD,804,Non-metropolitan Stable,92.3
El Paso County,Ysleta ISD,814,Major Urban,94.4
El Paso County,Anthony ISD,974,Rural,100.0
El Paso County,Canutillo ISD,874,Non-metropolitan Stable,87.6
El Paso County,Tornillo ISD,797,Independent Town,92.3
El Paso County,Socorro ISD,891,Rural,100.0
Erath County,Premier High Schools,896,Rural,91.1
Erath County,Erath Excels Academy Inc,903,Rural,100.0
Erath County,Dublin ISD,936,Rural,93.9
Erath County,Stephenville ISD,1019,Rural,95.5
Erath County,Huckabay ISD,940,Non-metropolitan Stable,97.7
Erath County,Lingleville ISD,891,Rural,91.6
Falls County,Chilton ISD,950,Rural,100.0
Falls County,Marlin ISD,840,Independent Town,98.5
Falls County,Rosebud-Lott ISD,839,Rural,97.1
Fannin County,Bonham ISD,959,Rural,88.9
Fannin County,Ector ISD,953,Rural,97.6
Fannin County,Honey Grove ISD,995,Rural,100.0
Fannin County,Leonard ISD,958,Rural,48.1
Fannin County,Savoy ISD,1019,Rural,49.6
Fannin County,Trenton ISD,1116,Rural,100.0
Fannin County,Sam Rayburn ISD,995,Rural,91.8
Fayette County,Flatonia ISD,971,Independent Town,83.6
Fayette County,La Grange ISD,1008,Rural,83.0
Fayette County,Schulenburg ISD,1007,Rural,89.5
Fayette County,Fayetteville ISD,1053,Rural,89.8
Fayette County,Round Top-Carmine ISD,1006,Rural,86.8
Fisher County,Roby CISD,NAN,Rural,91.0
Fisher County,Rotan ISD,NAN,Rural,96.2
Floyd County,Floydada ISD,755,Rural,90.6
Floyd County,Lockney ISD,935,Rural,53.6
Foard County,Crowell ISD,NAN,Other Central City,75.0
Fort Bend County,Lamar CISD,990,Other Central City Suburban,100.0
Fort Bend County,Needville ISD,1007,Major Suburban,95.2
Fort Bend County,Fort Bend ISD,1026,Non-metropolitan Stable,100.0
Fort Bend County,Stafford MSD,854,Non-metropolitan Stable,100.0
Franklin County,Mount Vernon ISD,1115,Non-metropolitan Stable,90.5
Freestone County,Fairfield ISD,969,Rural,84.5
Freestone County,Teague ISD,938,Rural,91.1
Freestone County,Wortham ISD,970,Non-metropolitan Stable,98.3
Frio County,Dilley ISD,857,Non-metropolitan Stable,100.0
Frio County,Pearsall ISD,912,Rural,95.0
Gaines County,Seagraves ISD,877,Rural,97.6
Gaines County,Seminole ISD,939,Non-metropolitan Stable,100.0
Galveston County,Premier Learning Academy,802,Other Central City,88.6
Galveston County,Dickinson ISD,943,Other Central City,97.5
Galveston County,Galveston ISD,915,Rural,96.6
Galveston County,High Island ISD,797,Other Central City Suburban,98.0
Galveston County,La Marque ISD,798,Other Central City Suburban,91.4
Galveston County,Texas City ISD,895,Other Central City Suburban,98.0
Galveston County,Hitchcock ISD,790,Other Central City Suburban,100.0
Galveston County,Santa Fe ISD,955,Major Suburban,100.0
